"total_taxis_available","total_taxis_in_hundreds","time","row_ts"
"1908","19","2024-05-30T07:57:55+08:00","2024-05-29 23:58:54.138383"
"1939","19","2024-05-30T08:03:25+08:00","2024-05-30 00:03:53.674125"
"1922","19","2024-05-30T08:08:26+08:00","2024-05-30 00:08:53.521974"
"1958","19","2024-05-30T08:13:26+08:00","2024-05-30 00:13:53.604771"
"1976","19","2024-05-30T08:18:26+08:00","2024-05-30 00:18:53.708126"
"1916","19","2024-05-30T08:23:26+08:00","2024-05-30 00:23:53.582707"
"1675","16","2024-05-30T08:28:27+08:00","2024-05-30 00:28:53.451446"
"1870","18","2024-05-30T08:33:27+08:00","2024-05-30 00:33:53.528977"
"1916","19","2024-05-30T08:37:57+08:00","2024-05-30 00:38:53.682132"
"1916","19","2024-05-30T08:43:28+08:00","2024-05-30 00:43:53.847295"
"1879","18","2024-05-30T08:48:28+08:00","2024-05-30 00:48:53.632683"
"1896","18","2024-05-30T08:52:58+08:00","2024-05-30 00:53:53.728134"
"2013","20","2024-05-30T08:58:28+08:00","2024-05-30 00:58:53.514081"
"2000","20","2024-05-30T09:03:28+08:00","2024-05-30 01:03:53.588869"
"2303","23","2024-05-30T09:08:29+08:00","2024-05-30 01:08:53.680787"
"2384","23","2024-05-30T09:13:29+08:00","2024-05-30 01:13:53.587444"
"2519","25","2024-05-30T09:18:29+08:00","2024-05-30 01:18:53.643107"
"2568","25","2024-05-30T09:22:59+08:00","2024-05-30 01:23:53.472355"
"2544","25","2024-05-30T09:28:29+08:00","2024-05-30 01:28:53.435137"
"2569","25","2024-05-30T09:33:30+08:00","2024-05-30 01:33:53.769731"
"2446","24","2024-05-30T09:38:30+08:00","2024-05-30 01:38:53.691061"
"876","8","2024-05-30T09:43:30+08:00","2024-05-30 01:43:53.340332"
"2559","25","2024-05-30T09:48:30+08:00","2024-05-30 01:48:53.634113"
"2242","22","2024-05-30T09:53:30+08:00","2024-05-30 01:53:53.537839"
"2526","25","2024-05-30T09:58:31+08:00","2024-05-30 01:58:53.555097"
"2453","24","2024-05-30T10:03:31+08:00","2024-05-30 02:03:53.652814"
"2392","23","2024-05-30T10:08:31+08:00","2024-05-30 02:08:53.590117"
"2514","25","2024-05-30T10:13:31+08:00","2024-05-30 02:13:53.542299"
"2511","25","2024-05-30T10:18:32+08:00","2024-05-30 02:18:53.736887"
"2729","27","2024-05-30T10:23:32+08:00","2024-05-30 02:23:54.247135"
"2571","25","2024-05-30T10:28:32+08:00","2024-05-30 02:28:54.308833"
"2414","24","2024-05-30T10:33:32+08:00","2024-05-30 02:33:53.629088"
"2609","26","2024-05-30T10:38:33+08:00","2024-05-30 02:38:53.544251"
"2617","26","2024-05-30T10:43:33+08:00","2024-05-30 02:43:53.731578"
"2661","26","2024-05-30T10:48:33+08:00","2024-05-30 02:48:53.547773"
"2685","26","2024-05-30T10:53:33+08:00","2024-05-30 02:53:53.763013"
"2500","25","2024-05-30T10:58:33+08:00","2024-05-30 02:58:53.609981"
"2673","26","2024-05-30T11:03:34+08:00","2024-05-30 03:03:53.503219"
"2656","26","2024-05-30T11:08:34+08:00","2024-05-30 03:08:53.714027"
"2655","26","2024-05-30T11:13:34+08:00","2024-05-30 03:13:53.571120"
"2584","25","2024-05-30T11:18:34+08:00","2024-05-30 03:18:53.613683"
"2537","25","2024-05-30T11:23:35+08:00","2024-05-30 03:23:53.754564"
"2434","24","2024-05-30T11:28:35+08:00","2024-05-30 03:28:53.499254"
"1982","19","2024-05-30T11:32:35+08:00","2024-05-30 03:33:53.627079"
"2504","25","2024-05-30T11:38:35+08:00","2024-05-30 03:38:53.637442"
"2459","24","2024-05-30T11:43:35+08:00","2024-05-30 03:43:53.506823"
"2354","23","2024-05-30T11:48:36+08:00","2024-05-30 03:48:53.595078"
"2312","23","2024-05-30T11:53:36+08:00","2024-05-30 03:53:53.467865"
"2404","24","2024-05-30T11:58:36+08:00","2024-05-30 03:58:53.585523"
"2411","24","2024-05-30T12:03:36+08:00","2024-05-30 04:03:53.592336"
"2399","23","2024-05-30T12:08:37+08:00","2024-05-30 04:08:53.866023"
"2354","23","2024-05-30T12:13:37+08:00","2024-05-30 04:13:53.700757"
"2374","23","2024-05-30T12:18:37+08:00","2024-05-30 04:18:53.618831"
"2393","23","2024-05-30T12:23:37+08:00","2024-05-30 04:23:53.613400"
"2437","24","2024-05-30T12:28:37+08:00","2024-05-30 04:28:53.488129"
"2473","24","2024-05-30T12:33:38+08:00","2024-05-30 04:33:53.823188"
"2403","24","2024-05-30T12:38:38+08:00","2024-05-30 04:38:53.742306"
"2465","24","2024-05-30T12:43:38+08:00","2024-05-30 04:43:53.553535"
"2427","24","2024-05-30T12:48:38+08:00","2024-05-30 04:48:53.764842"
"2431","24","2024-05-30T12:53:39+08:00","2024-05-30 04:53:53.727098"
"2453","24","2024-05-30T12:58:39+08:00","2024-05-30 04:58:53.540810"
"2488","24","2024-05-30T13:03:39+08:00","2024-05-30 05:03:53.417405"
"2412","24","2024-05-30T13:08:39+08:00","2024-05-30 05:08:53.636083"
"2551","25","2024-05-30T13:13:39+08:00","2024-05-30 05:13:53.465666"
"2510","25","2024-05-30T13:18:09+08:00","2024-05-30 05:18:53.876768"
"2514","25","2024-05-30T13:23:40+08:00","2024-05-30 05:23:53.614858"
"2480","24","2024-05-30T13:28:40+08:00","2024-05-30 05:28:53.536666"
"2477","24","2024-05-30T13:33:40+08:00","2024-05-30 05:33:53.654468"
"2416","24","2024-05-30T13:38:40+08:00","2024-05-30 05:38:53.529366"
"2400","24","2024-05-30T13:43:40+08:00","2024-05-30 05:43:53.597784"
"2328","23","2024-05-30T13:48:41+08:00","2024-05-30 05:48:53.510754"
"2352","23","2024-05-30T13:53:41+08:00","2024-05-30 05:53:53.584218"
"2431","24","2024-05-30T13:58:41+08:00","2024-05-30 05:58:53.619705"
"2460","24","2024-05-30T14:03:41+08:00","2024-05-30 06:03:53.547065"
"2312","23","2024-05-30T14:08:42+08:00","2024-05-30 06:08:53.601776"
"2530","25","2024-05-30T14:13:42+08:00","2024-05-30 06:13:53.518845"
"2475","24","2024-05-30T14:18:42+08:00","2024-05-30 06:18:53.635173"
"2528","25","2024-05-30T14:23:42+08:00","2024-05-30 06:23:53.601653"
"2582","25","2024-05-30T14:28:43+08:00","2024-05-30 06:28:53.600184"
"2547","25","2024-05-30T14:33:43+08:00","2024-05-30 06:33:53.728784"
"2507","25","2024-05-30T14:38:43+08:00","2024-05-30 06:38:53.577331"
"2505","25","2024-05-30T14:43:43+08:00","2024-05-30 06:43:53.648695"
"2526","25","2024-05-30T14:48:44+08:00","2024-05-30 06:48:53.592082"
"2644","26","2024-05-30T14:53:44+08:00","2024-05-30 06:53:53.806973"
"2658","26","2024-05-30T14:58:44+08:00","2024-05-30 06:58:53.637937"
"2758","27","2024-05-30T15:03:44+08:00","2024-05-30 07:03:53.557227"
"2739","27","2024-05-30T15:08:45+08:00","2024-05-30 07:08:53.819675"
"2801","28","2024-05-30T15:13:45+08:00","2024-05-30 07:13:53.620531"
"2771","27","2024-05-30T15:18:45+08:00","2024-05-30 07:18:53.662638"
"2707","27","2024-05-30T15:23:45+08:00","2024-05-30 07:23:53.614684"
"2653","26","2024-05-30T15:28:46+08:00","2024-05-30 07:28:53.518493"
"2678","26","2024-05-30T15:33:46+08:00","2024-05-30 07:33:53.609144"
"2446","24","2024-05-30T15:38:46+08:00","2024-05-30 07:38:53.571662"
"2606","26","2024-05-30T15:43:46+08:00","2024-05-30 07:43:53.529588"
"2447","24","2024-05-30T15:48:46+08:00","2024-05-30 07:48:53.727619"
"2632","26","2024-05-30T15:53:47+08:00","2024-05-30 07:53:53.712125"
"2626","26","2024-05-30T15:58:47+08:00","2024-05-30 07:58:53.557803"
"2621","26","2024-05-30T16:03:47+08:00","2024-05-30 08:03:53.573906"
"2598","25","2024-05-30T16:08:47+08:00","2024-05-30 08:08:53.626066"
"2606","26","2024-05-30T16:13:47+08:00","2024-05-30 08:13:53.599026"
"2599","25","2024-05-30T16:18:48+08:00","2024-05-30 08:18:53.646337"
"2515","25","2024-05-30T16:23:48+08:00","2024-05-30 08:23:53.768023"
"2490","24","2024-05-30T16:28:48+08:00","2024-05-30 08:28:53.696104"
"2462","24","2024-05-30T16:33:48+08:00","2024-05-30 08:33:53.716773"
"2311","23","2024-05-30T16:38:49+08:00","2024-05-30 08:38:53.584719"
"2457","24","2024-05-30T16:43:49+08:00","2024-05-30 08:43:53.719555"
"2403","24","2024-05-30T16:48:49+08:00","2024-05-30 08:48:53.559887"
"2342","23","2024-05-30T16:53:49+08:00","2024-05-30 08:53:53.857871"
"2354","23","2024-05-30T16:58:20+08:00","2024-05-30 08:58:53.667133"
"2405","24","2024-05-30T17:03:50+08:00","2024-05-30 09:03:53.622741"
"2485","24","2024-05-30T17:08:50+08:00","2024-05-30 09:08:53.871964"
"2613","26","2024-05-30T17:13:50+08:00","2024-05-30 09:13:53.542533"
"2592","25","2024-05-30T17:18:50+08:00","2024-05-30 09:18:53.668235"
"2328","23","2024-05-30T17:23:51+08:00","2024-05-30 09:23:53.608116"
"2617","26","2024-05-30T17:28:51+08:00","2024-05-30 09:28:53.531680"
"2584","25","2024-05-30T17:33:51+08:00","2024-05-30 09:33:53.923719"
"2504","25","2024-05-30T17:38:51+08:00","2024-05-30 09:38:53.592457"
"2527","25","2024-05-30T17:43:21+08:00","2024-05-30 09:43:53.506708"
"2481","24","2024-05-30T17:48:52+08:00","2024-05-30 09:48:53.940982"
"2491","24","2024-05-30T17:53:22+08:00","2024-05-30 09:53:53.620908"
"2482","24","2024-05-30T17:58:52+08:00","2024-05-30 09:58:53.646991"
"2407","24","2024-05-30T18:03:22+08:00","2024-05-30 10:03:53.541031"
"2326","23","2024-05-30T18:08:53+08:00","2024-05-30 10:08:53.749747"
"2133","21","2024-05-30T18:13:53+08:00","2024-05-30 10:13:53.559172"
"2261","22","2024-05-30T18:18:23+08:00","2024-05-30 10:18:53.571094"
"2222","22","2024-05-30T18:23:53+08:00","2024-05-30 10:23:53.641509"
"2243","22","2024-05-30T18:28:24+08:00","2024-05-30 10:28:53.504487"
"2174","21","2024-05-30T18:33:24+08:00","2024-05-30 10:33:53.635064"
"1947","19","2024-05-30T18:38:24+08:00","2024-05-30 10:38:53.466291"
"2157","21","2024-05-30T18:43:24+08:00","2024-05-30 10:43:53.600462"
"2217","22","2024-05-30T18:48:24+08:00","2024-05-30 10:48:53.494309"
"2202","22","2024-05-30T18:53:25+08:00","2024-05-30 10:53:53.680658"
"2366","23","2024-05-30T18:58:25+08:00","2024-05-30 10:58:53.549541"
"2392","23","2024-05-30T19:03:25+08:00","2024-05-30 11:03:53.520229"
"2371","23","2024-05-30T19:08:25+08:00","2024-05-30 11:08:53.420080"
"2420","24","2024-05-30T19:13:26+08:00","2024-05-30 11:13:53.540288"
"2500","25","2024-05-30T19:18:26+08:00","2024-05-30 11:18:53.457390"
"2559","25","2024-05-30T19:23:26+08:00","2024-05-30 11:23:53.648488"
"2589","25","2024-05-30T19:28:26+08:00","2024-05-30 11:28:53.561961"
"2623","26","2024-05-30T19:33:27+08:00","2024-05-30 11:33:54.224873"
"2382","23","2024-05-30T19:37:57+08:00","2024-05-30 11:38:54.143064"
"2693","26","2024-05-30T19:43:27+08:00","2024-05-30 11:43:53.721135"
"2730","27","2024-05-30T19:48:27+08:00","2024-05-30 11:48:53.555141"
"2686","26","2024-05-30T19:53:27+08:00","2024-05-30 11:53:53.681378"
"2684","26","2024-05-30T19:58:28+08:00","2024-05-30 11:58:53.636434"
